ruta_imagen,id_correcto
../data/consultas/sr2026092308351851.png,DESCONOCIDO
../data/consultas/sr2026092308351852.png,DESCONOCIDO
../data/consultas/sr2026092308351853.png,DESCONOCIDO
../data/consultas/sr2026092308361856.png,DESCONOCIDO
../data/consultas/sr2026092308361857.png,DESCONOCIDO
../data/consultas/sr2026092308371858.png,DESCONOCIDO
../data/consultas/sr2026092308371859.png,DESCONOCIDO
../data/consultas/sr2026092308371860.png,DESCONOCIDO
../data/consultas/sr2026092308391861.png,DESCONOCIDO
../data/consultas/sr2026092308411862.png,DESCONOCIDO
../data/consultas/sr2026092308411863.png,DESCONOCIDO
../data/consultas/sr2026092308431864.png,DESCONOCIDO
../data/consultas/sr2026092308431865.png,DESCONOCIDO
