caso_id,tipo,posicion,id_resultado,juicio,score,timestamp
caso_01,con_marco,1,AIM-P001-001,acierto,0.7837,2026-09-13T23:08:25Z
caso_01,con_marco,2,AIM-P083-055,sirve,0.7414,2026-09-13T23:08:39Z
caso_01,con_marco,3,AIM-P105-007,no_sirve,0.7399,2026-09-13T23:08:49Z
caso_01,con_marco,4,AIM-P114-032,no_sirve,0.7387,2026-09-13T23:08:57Z
caso_01,con_marco,5,AIM-P239-037,no_sirve,0.7385,2026-09-13T23:09:07Z
caso_02,sin_marco,1,AIM-P001-002,acierto,0.8923,2026-09-13T23:51:44Z
caso_02,sin_marco,2,AIM-P083-009,sirve,0.8551,2026-09-13T23:51:52Z
caso_02,sin_marco,3,AIM-P244-018,no_sirve,0.8436,2026-09-13T23:52:00Z
caso_02,sin_marco,4,AIM-P121-039,no_sirve,0.8418,2026-09-13T23:52:07Z
caso_02,sin_marco,5,AIM-P055-014,no_sirve,0.8329,2026-09-13T23:52:15Z
caso_03,con_marco,1,AIM-P048-011,no_sirve,0.7689,2026-09-14T00:23:53Z
caso_03,con_marco,2,AIM-P054-016,no_sirve,0.7599,2026-09-14T00:23:58Z
caso_03,con_marco,3,AIM-P146-011,no_sirve,0.7588,2026-09-14T00:24:05Z
caso_03,con_marco,4,AIM-P079-051,no_sirve,0.7549,2026-09-14T00:24:13Z
caso_03,con_marco,5,AIM-P172-023,sirve,0.7542,2026-09-14T00:24:19Z
caso_04,sin_marco,1,AIM-P001-004,acierto,0.8097,2026-09-14T01:06:59Z
caso_04,sin_marco,2,AIM-P177-017,no_sirve,0.7956,2026-09-14T01:07:24Z
caso_04,sin_marco,3,AIM-P005-053,no_sirve,0.7898,2026-09-14T01:07:31Z
caso_04,sin_marco,4,AIM-P020-001,no_sirve,0.7878,2026-09-14T01:07:38Z
caso_04,sin_marco,5,AIM-P062-053,no_sirve,0.7849,2026-09-14T01:07:44Z
caso_05,con_marco,1,AIM-P001-005,acierto,0.7673,2026-09-14T01:08:45Z
caso_05,con_marco,2,AIM-P121-001,sirve,0.6894,2026-09-14T01:08:54Z
caso_05,con_marco,3,AIM-P037-042,no_sirve,0.6757,2026-09-14T01:09:03Z
caso_05,con_marco,4,AIM-P223-037,sirve,0.675,2026-09-14T01:09:10Z
caso_05,con_marco,5,AIM-P079-051,no_sirve,0.663,2026-09-14T01:09:15Z
caso_06,sin_marco,1,AIM-P001-006,acierto,0.918,2026-09-14T01:09:31Z
caso_06,sin_marco,2,AIM-P094-031,sirve,0.7321,2026-09-14T01:09:40Z
caso_06,sin_marco,3,AIM-P084-025,no_sirve,0.7302,2026-09-14T01:09:48Z
caso_06,sin_marco,4,AIM-P211-054,no_sirve,0.724,2026-09-14T01:10:04Z
caso_06,sin_marco,5,AIM-P211-059,no_sirve,0.724,2026-09-14T01:10:29Z
caso_07,con_marco,1,AIM-P001-007,acierto,0.7748,2026-09-14T01:11:05Z
caso_07,con_marco,2,AIM-P010-050,no_sirve,0.7634,2026-09-14T01:11:17Z
caso_07,con_marco,3,AIM-P159-007,no_sirve,0.7623,2026-09-14T01:11:22Z
caso_07,con_marco,4,AIM-P126-047,no_sirve,0.7617,2026-09-14T01:11:28Z
caso_07,con_marco,5,AIM-P202-019,no_sirve,0.7565,2026-09-14T01:11:33Z
caso_08,sin_marco,1,AIM-P001-008,acierto,0.812,2026-09-14T01:12:40Z
caso_08,sin_marco,2,AIM-P068-007,no_sirve,0.6848,2026-09-14T01:12:49Z
caso_08,sin_marco,3,AIM-P054-016,sirve,0.6731,2026-09-14T01:13:04Z
caso_08,sin_marco,4,AIM-P241-012,no_sirve,0.6715,2026-09-14T01:13:09Z
caso_08,sin_marco,5,AIM-P133-039,no_sirve,0.6663,2026-09-14T01:13:16Z
caso_09,con_marco,1,AIM-P008-022,acierto,0.7953,2026-09-14T01:14:11Z
caso_09,con_marco,2,AIM-P074-055,acierto,0.7832,2026-09-14T01:14:20Z
caso_09,con_marco,3,AIM-P001-009,acierto,0.7498,2026-09-14T01:14:33Z
caso_09,con_marco,4,AIM-P135-047,no_sirve,0.7195,2026-09-14T01:14:42Z
caso_09,con_marco,5,AIM-P198-005,no_sirve,0.7158,2026-09-14T01:14:47Z
caso_10,sin_marco,1,AIM-P001-010,acierto,0.8893,2026-09-14T01:15:25Z
caso_10,sin_marco,2,AIM-P119-044,sirve,0.8525,2026-09-14T01:15:44Z
caso_10,sin_marco,3,AIM-P236-056,no_sirve,0.8228,2026-09-14T01:16:03Z
caso_10,sin_marco,4,AIM-P093-052,no_sirve,0.8103,2026-09-14T01:16:23Z
caso_10,sin_marco,5,AIM-P083-021,no_sirve,0.8066,2026-09-14T01:16:32Z
